| ID | Categoria | Gatilho / Intenção do cliente | Atalho sugerido | Mensagem (template) | Variáveis usadas | Observação de uso |
| :-: | :-: | :-: | :-: | :-: | :-: | :-: |
| A01 | Abertura | Primeiro contato / saudação | /boasvindas | Olá, {nome}\! Prazer falar contigo. Aqui é o {atendente}, do time de Vendas da ABSOLUT Sport, a primeira e única Agência de Viagens Oficial da {parceiro}\! Vai ser um prazer te ajudar a viver {evento}, em {cidade}, no dia {data}\! Todas as opções de pacote estão no nosso site {url} e podem incluir transporte aéreo, hospedagem, transporte terrestre, assistência in-loco e, claro, ingressos. Os pacotes são limitados e já estão na reta final de estoque — corre garantir o seu\! | {nome} {atendente} {parceiro} {evento} {cidade} {data} {url} | Ajustar saudação (Bom dia/Boa tarde/Boa noite) conforme horário. |
| A02 | Produto & Pacotes | O que inclui / personalizar (aéreo de outra cidade) | /pacotes | Todas as opções de pacote estão no site {url} e podem incluir transporte aéreo, hospedagem, transporte terrestre, assistência in-loco e ingressos. As saídas de aéreo são exclusivamente de {origem\_aereo}; voos de outras praças já esgotaram. | {url} {origem\_aereo} |  |
| A03 | Produto & Pacotes | Quanto custa o pacote X | /preco | Todas as opções estão no site {url}. O preço final é calculado na própria plataforma, conforme as opções de hospitalidade escolhidas. | {url} |  |
| A04 | Produto & Pacotes | Posso negociar desconto? | /desconto | {nome}, neste momento do ciclo de vendas todos os pacotes têm composição e preço fechados, habilitados para venda exclusiva online no nosso e-commerce. Todas as opções disponíveis estão em {url}. Fico à disposição para dúvidas. | {nome} {url} |  |
| A05 | Produto & Pacotes | Defesa do preço (reclamação) | /defesapreco | É importante destacar que nossa precificação segue margens razoáveis, dentro do praticado no mercado, e inclui — além dos serviços de hospitalidade — toda a operação da Agência in-loco, time de suporte, carga tributária, taxa de licença e royalties pagos à {parceiro} enquanto Agência Oficial, além de outros custos operacionais do projeto. | {parceiro} | Usar só se o cliente reclamar do preço. |
| A06 | Tickets | Torcida exclusiva / vocês têm CAT3? | /cat3 | Infelizmente não. Como Agência Oficial da {parceiro}, o escopo da parceria inclui apenas pacotes com ingressos CAT1 ou CAT2, além de passes para a zona de Hospitalidade. Todos os nossos ingressos são para setores mistos. Os setores exclusivos de cada torcida (CAT3) são comercializados diretamente pela {parceiro} e pelos clubes finalistas. Pacotes disponíveis em {url}. | {parceiro} {url} |  |
| A07 | Tickets | Diferença entre CAT1 e CAT2 | /cat1cat2 | As duas categorias ficam em setores centrais com torcida mista. A diferença está na vista da cerimônia de premiação: a CAT1 (ocidente) oferece vista frontal do palco e da entrega do troféu; a CAT2 (oriente) fica do outro lado do estádio. Últimas unidades em {url}. | {url} | Ajustar nomes de setor conforme o estádio do evento. |
| A08 | Tickets | O que é o Hospitality? | /hospitality | É uma experiência premium que combina o ingresso com acesso a uma área VIP: open bar, open food, ativações de patrocinadores, convidados VIP, telões, lounges climatizados e outras atrações. Os pacotes de hospitalidade incluem ingresso CAT. Últimas unidades em {url}. | {url} |  |
| A09 | Tickets | Vocês têm camarote? | /camarote | Infelizmente nosso estoque de camarotes está esgotado, {nome}\! Caso surja novidade, informaremos. Todo o inventário de pacotes ainda disponíveis está em {url}. | {nome} {url} |  |
